,Flow,max_interpacket_interval,min_interpacket_interval,avg_interpacket_interval,sum_interpacket_interval,max_packet_length,min_packet_length,avg_packet_length,sum_packet_length,mode_packet_length,max_feature_mean_func_interpacket_interval_per_0.2,min_feature_mean_func_interpacket_interval_per_0.2,std_feature_mean_func_interpacket_interval_per_0.2,mean_feature_mean_func_interpacket_interval_per_0.2,max_feature_sum_func_interpacket_interval_per_0.2,min_feature_sum_func_interpacket_interval_per_0.2,std_feature_sum_func_interpacket_interval_per_0.2,mean_feature_sum_func_interpacket_interval_per_0.2,max_feature_mean_func_interpacket_interval_per_0.05,min_feature_mean_func_interpacket_interval_per_0.05,std_feature_mean_func_interpacket_interval_per_0.05,mean_feature_mean_func_interpacket_interval_per_0.05,max_feature_sum_func_interpacket_interval_per_0.05,min_feature_sum_func_interpacket_interval_per_0.05,std_feature_sum_func_interpacket_interval_per_0.05,mean_feature_sum_func_interpacket_interval_per_0.05,max_feature_mean_func_packet_length_per_0.2,min_feature_mean_func_packet_length_per_0.2,std_feature_mean_func_packet_length_per_0.2,mean_feature_mean_func_packet_length_per_0.2,max_feature_sum_func_packet_length_per_0.2,min_feature_sum_func_packet_length_per_0.2,std_feature_sum_func_packet_length_per_0.2,mean_feature_sum_func_packet_length_per_0.2,max_feature_mean_func_packet_length_per_0.05,min_feature_mean_func_packet_length_per_0.05,std_feature_mean_func_packet_length_per_0.05,mean_feature_mean_func_packet_length_per_0.05,max_feature_sum_func_packet_length_per_0.05,min_feature_sum_func_packet_length_per_0.05,std_feature_sum_func_packet_length_per_0.05,mean_feature_sum_func_packet_length_per_0.05,max_feature_packet_number_per_0.2,min_feature_packet_number_per_0.2,std_feature_packet_number_per_0.2,mean_feature_packet_number_per_0.2,label
20,192.168.1.78:63827<-->81.200.154.28:443,0.17779898643493652,0.0,0.023627495765686034,0.708824872970581,1514,66,536.1935483870968,16622,66,0.07689293225606282,0.025908851623535158,0.022270890329184282,0.04579896624126132,0.4843316078186035,0.23067879676818848,0.11347114710110313,0.32469964027404785,0.002033778599330357,0.0002614259719848633,0.0006411128995157424,0.0010289124080113002,0.0142364501953125,0.0005228519439697266,0.005391152007140484,0.005602836608886719,629.0,71.0,251.19432988868942,424.8484848484848,9435,284,3798.7910650041754,5346.333333333333,765.25,66.0,302.0939100159915,448.8125,7953,198,3356.747756385636,3749.0,15,5,4.109609335312651,10.333333333333334,vpn
21,192.168.1.78:64657<-->81.200.154.28:443,15.06192398071289,9.5367431640625e-07,2.0026436964670817,60.07931089401245,1514,54,248.3548387096774,7699,66,0.0770403544108073,0.0015392303466796875,0.024199930023163823,0.046145737171173096,0.23112106323242188,0.009235382080078125,0.0745915340762416,0.13267691930135092,0.041423678398132324,0.0009229183197021484,0.015216444268403812,0.014295697212219238,0.08284735679626465,0.0018458366394042969,0.029485479184116835,0.029822778701782227,594.1111111111111,66.0,195.86991427888026,156.1851851851852,5347,198,1910.9622139993594,1074.5,745.0,62.0,264.02833181308404,235.2,5215,186,1967.563833780241,1301.6,9,2,2.0603150145508513,4.428571428571429,vpn
22,192.168.1.78:61860<-->81.200.154.28:443,0.14716792106628418,9.5367431640625e-07,0.020555702845255534,0.616671085357666,1514,66,565.258064516129,17523,66,0.08000461260477702,6.688724864612927e-05,0.033323970484497416,0.03526708381344574,0.2572975158691406,0.0007357597351074219,0.11708337906854076,0.1660157044728597,0.0019239187240600586,6.688724864612927e-05,0.0007369720137400484,0.0009401297414457643,0.009462356567382812,0.0007357597351074219,0.0035431182950040442,0.0037204623222351074,682.8666666666667,71.0,268.0170328104973,445.62222222222226,10243,284,4101.696424109853,5646.666666666667,776.875,66.0,306.0410593407224,452.7008928571429,10177,198,4117.781403559446,4328.25,15,5,4.109609335312651,10.333333333333334,vpn
23,192.168.1.78:60848<-->81.200.154.28:443,15.085362195968628,2.1457672119140625e-06,2.004136832555135,60.12410497665405,1514,54,248.32258064516128,7698,66,0.078338623046875,0.027680635452270508,0.017943847648779602,0.052428703597097684,0.5035381317138672,0.08304190635681152,0.14639634362980816,0.23052802085876464,0.026483535766601562,0.0007946491241455078,0.010896982388047245,0.007620888096945626,0.052967071533203125,0.0015892982482910156,0.02100860383587752,0.016911685466766357,492.25,66.0,170.0110290539999,152.25,5907,198,2275.24381111124,1357.0,673.125,62.0,249.72003660036472,259.53125,5385,186,2184.750901132667,1620.0,12,2,3.1841621957571338,5.166666666666667,vpn
24,192.168.1.78:64757<-->81.200.154.28:443,0.1453409194946289,0.0,0.017801467577616373,0.5340440273284912,1514,66,624.3870967741935,19356,66,0.0777580738067627,0.0007060766220092773,0.03618674272855346,0.02658338679207696,0.23327422142028809,0.004236459732055664,0.10542971355350982,0.08431426684061687,0.001286009947458903,0.0007060766220092773,0.00023861173047417243,0.0009750458929273818,0.015432119369506836,0.0018661022186279297,0.005916062981381539,0.0071782271067301435,730.4117647058823,71.0,298.57901165955536,492.02614379084963,12417,284,4955.016066797586,6257.666666666667,848.5714285714286,241.0,263.0227329452028,606.6610644257703,12417,723,4783.28401832883,6360.0,17,5,4.988876515698588,10.333333333333334,vpn
25,192.168.1.78:64366<-->81.200.154.28:443,0.14615607261657715,9.5367431640625e-07,0.018109806378682456,0.5432941913604736,1514,66,532.483870967742,16507,66,0.08157507578531902,0.00024704138437906903,0.034229501800346625,0.03502531605537492,0.25579214096069336,0.002964496612548828,0.11666311673311193,0.16782728830973306,0.0012170374393463135,0.00024704138437906903,0.0003758461126104605,0.0008849079410235087,0.009736299514770508,0.002028226852416992,0.0032096509786344206,0.00421297550201416,655.5,71.0,252.53029093458508,421.6944444444445,9177,284,3721.2794394759803,5308.0,696.1111111111111,66.0,268.7658016457065,414.65277777777777,9177,198,3777.9804376809575,4090.75,14,5,3.858612300930075,10.333333333333334,vpn
26,192.168.1.78:58369<-->81.200.154.28:443,0.1487128734588623,9.5367431640625e-07,0.018116839726765952,0.5435051918029785,1514,66,623.1935483870968,19319,66,0.0796366532643636,0.0002341747283935547,0.03719102584720104,0.027043941285875107,0.23890995979309082,0.0035126209259033203,0.11002442963013992,0.0833295186360677,0.001260995864868164,0.0002341747283935547,0.0004422528599557202,0.0008472363154093425,0.007565975189208984,0.002093076705932617,0.0023189414343752052,0.004390557607014974,729.7647058823529,71.0,297.81936356323126,490.8474945533769,12406,284,4950.792618920283,6245.333333333333,844.8571428571429,241.0,261.78461370299794,605.2072829131653,12406,723,4779.4122604725735,6347.666666666667,17,5,4.988876515698588,10.333333333333334,vpn
27,192.168.1.78:62901<-->81.200.154.28:443,0.18254899978637695,9.5367431640625e-07,0.02143583297729492,0.6430749893188477,1514,66,526.1935483870968,16312,66,0.07764156659444173,0.0012919902801513672,0.03213474419856103,0.033939626481797956,0.2517385482788086,0.014211893081665039,0.10781061823590449,0.1662917137145996,0.0022110939025878906,0.001117795705795288,0.000415558602598452,0.0015330836176872253,0.014211893081665039,0.003022909164428711,0.004374854021593272,0.007649838924407959,635.5,71.0,247.66436118761442,417.38888888888886,8897,284,3635.3093403450553,5243.0,730.4166666666666,66.0,289.0787552987011,435.74305555555554,8765,198,3654.4949719489287,4009.0,14,5,3.858612300930075,10.333333333333334,vpn
28,192.168.1.78:64499<-->81.200.154.28:443,0.14359498023986816,9.5367431640625e-07,0.020802235603332518,0.6240670680999756,1514,66,604.741935483871,18747,66,0.08326005935668945,0.0011927684148152669,0.03745930521301416,0.030379624448270876,0.24978017807006836,0.0071566104888916016,0.10096867797180459,0.11461846033732097,0.0066860455733079175,0.000733494758605957,0.0024982975487921827,0.002368607582190098,0.08691859245300293,0.001466989517211914,0.03621461716532545,0.024316608905792236,700.2941176470588,71.0,288.4544373330284,478.39433551198255,11905,284,4744.58781724562,6054.666666666667,836.2142857142857,66.0,346.5504696252033,494.4821428571429,11707,198,4649.246464482175,4617.75,17,5,4.988876515698588,10.333333333333334,vpn
29,192.168.1.78:58618<-->81.200.154.28:443,0.14577579498291016,9.5367431640625e-07,0.022156135241190592,0.6646840572357178,1514,66,563.6451612903226,17473,66,0.08136932055155437,0.001428842544555664,0.03453248592923983,0.03341745951819042,0.24435901641845703,0.008573055267333984,0.11109144113013948,0.1656800111134847,0.018305420875549316,0.00016067028045654296,0.007404084098342753,0.005549126863479614,0.03661084175109863,0.0016067028045654297,0.013939979869640655,0.012848436832427979,663.3333333333334,71.0,270.78330674910063,453.3267973856209,10636,284,4233.019095948737,5630.0,834.0,66.0,325.6078225129622,471.6428571428571,10438,198,4173.182800633109,4299.25,17,5,4.988876515698588,10.333333333333334,vpn
